sno,title,nco_2015,nco_2004,division,sub_division,group,family
1660,"Fieldman, Agriculture",6111.2000,6111.50,"Skilled Agricultural, Forestry and Fishery Workers",Market-Oriented Skilled Agricultural Workers,Market Gardeners & Crop Growers,Field Crop and Vegetable Growers
1661,Cotton Cultivator,6111.0601,,"Skilled Agricultural, Forestry and Fishery Workers",Market-Oriented Skilled Agricultural Workers,Market Gardeners & Crop Growers,Field Crop and Vegetable Growers
1662,"Field Crop and Vegetable Growers, Other",6111.9900,6111.90,"Skilled Agricultural, Forestry and Fishery Workers",Market-Oriented Skilled Agricultural Workers,Market Gardeners & Crop Growers,Field Crop and Vegetable Growers
1663,Sugarcane Cultivator,6111.0701,,"Skilled Agricultural, Forestry and Fishery Workers",Market-Oriented Skilled Agricultural Workers,Market Gardeners & Crop Growers,Field Crop and Vegetable Growers
1664,"Cultivator, Fruit",6111.0800,6112.10,"Skilled Agricultural, Forestry and Fishery Workers",Market-Oriented Skilled Agricultural Workers,Market Gardeners & Crop Growers,Field Crop and Vegetable Growers
1665,Neera Technician,6112.0201,,"Skilled Agricultural, Forestry and Fishery Workers",Market-Oriented Skilled Agricultural Workers,Market Gardeners & Crop Growers,Tree and Shrub Crop Growers
1666,"Tapper, Rubber",6112.0300,6112.50,"Skilled Agricultural, Forestry and Fishery Workers",Market-Oriented Skilled Agricultural Workers,Market Gardeners & Crop Growers,Tree and Shrub Crop Growers
1667,Budder,6112.0400,6112.65,"Skilled Agricultural, Forestry and Fishery Workers",Market-Oriented Skilled Agricultural Workers,Market Gardeners & Crop Growers,Tree and Shrub Crop Growers
1668,Tea Plantation Worker,6112.0501,,"Skilled Agricultural, Forestry and Fishery Workers",Market-Oriented Skilled Agricultural Workers,Market Gardeners & Crop Growers,Tree and Shrub Crop Growers
1669,Coffee Plantation Worker,6112.0601,,"Skilled Agricultural, Forestry and Fishery Workers",Market-Oriented Skilled Agricultural Workers,Market Gardeners & Crop Growers,Tree and Shrub Crop Growers
1670,Bamboo Grower,6112.0701,,"Skilled Agricultural, Forestry and Fishery Workers",Market-Oriented Skilled Agricultural Workers,Market Gardeners & Crop Growers,Tree and Shrub Crop Growers
1671,Rubber Nursery Worker – Budder,6112.0801,,"Skilled Agricultural, Forestry and Fishery Workers",Market-Oriented Skilled Agricultural Workers,Market Gardeners & Crop Growers,Tree and Shrub Crop Growers
1672,Rubber Nursery Worker – General,6112.0802,,"Skilled Agricultural, Forestry and Fishery Workers",Market-Oriented Skilled Agricultural Workers,Market Gardeners & Crop Growers,Tree and Shrub Crop Growers
1673,"Tree and Shrub Crop Growers, Other",6112.9900,6112.90,"Skilled Agricultural, Forestry and Fishery Workers",Market-Oriented Skilled Agricultural Workers,Market Gardeners & Crop Growers,Tree and Shrub Crop Growers
1674,"Pruner, Tea Gardens",6112.0100,6112.30,"Skilled Agricultural, Forestry and Fishery Workers",Market-Oriented Skilled Agricultural Workers,Market Gardeners & Crop Growers,Tree and Shrub Crop Growers
1675,"Tapper, Palm Juice",6112.0200,6112.40,"Skilled Agricultural, Forestry and Fishery Workers",Market-Oriented Skilled Agricultural Workers,Market Gardeners & Crop Growers,Tree and Shrub Crop Growers
1676,"Nursery Workers and Gardeners, Other",6113.9900,6113.90,"Skilled Agricultural, Forestry and Fishery Workers",Market-Oriented Skilled Agricultural Workers,Market Gardeners & Crop Growers,"Gardeners, Horticultural and Nursery Growers"
1677,Planter,6113.0100,6113.10,"Skilled Agricultural, Forestry and Fishery Workers",Market-Oriented Skilled Agricultural Workers,Market Gardeners & Crop Growers,"Gardeners, Horticultural and Nursery Growers"
1678,Nurseryman,6113.0200,6113.20,"Skilled Agricultural, Forestry and Fishery Workers",Market-Oriented Skilled Agricultural Workers,Market Gardeners & Crop Growers,"Gardeners, Horticultural and Nursery Growers"
1679,"Gardener, General",6113.0301,6113.30,"Skilled Agricultural, Forestry and Fishery Workers",Market-Oriented Skilled Agricultural Workers,Market Gardeners & Crop Growers,"Gardeners, Horticultural and Nursery Growers"
1680,Groundsman,6113.0400,6113.40,"Skilled Agricultural, Forestry and Fishery Workers",Market-Oriented Skilled Agricultural Workers,Market Gardeners & Crop Growers,"Gardeners, Horticultural and Nursery Growers"
1681,Greenhouse Fitter,6113.0501,,"Skilled Agricultural, Forestry and Fishery Workers",Market-Oriented Skilled Agricultural Workers,Market Gardeners & Crop Growers,"Gardeners, Horticultural and Nursery Growers"
1682,Floriculturist – (Open Cultivation),6113.0601,,"Skilled Agricultural, Forestry and Fishery Workers",Market-Oriented Skilled Agricultural Workers,Market Gardeners & Crop Growers,"Gardeners, Horticultural and Nursery Growers"
1683,Floriculturist – (Protected Cultivation),6113.0602,,"Skilled Agricultural, Forestry and Fishery Workers",Market-Oriented Skilled Agricultural Workers,Market Gardeners & Crop Growers,"Gardeners, Horticultural and Nursery Growers"
1684,"Mixed Crop Growers, Other",6114.9900,6114.90,"Skilled Agricultural, Forestry and Fishery Workers",Market-Oriented Skilled Agricultural Workers,Market Gardeners & Crop Growers,Mixed Crop Growers
1685,Agriculture Extension Executive,6116.0101,,"Skilled Agricultural, Forestry and Fishery Workers",Market-Oriented Skilled Agricultural Workers,Market Gardeners & Crop Growers,Agriculture Information Management
1686,Agriculture Extension Service Provider,6116.0102,,"Skilled Agricultural, Forestry and Fishery Workers",Market-Oriented Skilled Agricultural Workers,Market Gardeners & Crop Growers,Agriculture Information Management
1687,Community Service Provider,6116.0112,,"Skilled Agricultural, Forestry and Fishery Workers",Market-Oriented Skilled Agricultural Workers,Market Gardeners & Crop Growers,Agriculture Information Management
1688,"Shearer, Animal, Other/Shearer, Other Animals",6121.1300,6121.70,"Skilled Agricultural, Forestry and Fishery Workers",Market-Oriented Skilled Agricultural Workers,Animal Producers,Livestock and Dairy Producers
1689,Grass Cutter,6121.1400,6121.75,"Skilled Agricultural, Forestry and Fishery Workers",Market-Oriented Skilled Agricultural Workers,Animal Producers,Livestock and Dairy Producers
1690,"Dairy and Livestock Producers, Other",6121.9900,6121.90,"Skilled Agricultural, Forestry and Fishery Workers",Market-Oriented Skilled Agricultural Workers,Animal Producers,Livestock and Dairy Producers
1691,"Farmer, Livestock",6121.10,,"Skilled Agricultural, Forestry and Fishery Workers",Market-Oriented Skilled Agricultural Workers,Animal Producers,Livestock and Dairy Producers
1692,"Farmer, Dairy/Dairy Farmer/Entrepreneur",6121.0201,6121.15,"Skilled Agricultural, Forestry and Fishery Workers",Market-Oriented Skilled Agricultural Workers,Animal Producers,Livestock and Dairy Producers
1693,"Livestock Worker, General",6121.0300,6121.20,"Skilled Agricultural, Forestry and Fishery Workers",Market-Oriented Skilled Agricultural Workers,Animal Producers,Livestock and Dairy Producers
1694,Herdsman,6121.0400,6121.25,"Skilled Agricultural, Forestry and Fishery Workers",Market-Oriented Skilled Agricultural Workers,Animal Producers,Livestock and Dairy Producers
1695,Livestock Workers/Other Livestock Workers,6121.0500,6121.30,"Skilled Agricultural, Forestry and Fishery Workers",Market-Oriented Skilled Agricultural Workers,Animal Producers,Livestock and Dairy Producers
1696,"Dairy Farm Worker, General/Dairy Worker",6121.0601,6121.35,"Skilled Agricultural, Forestry and Fishery Workers",Market-Oriented Skilled Agricultural Workers,Animal Producers,Livestock and Dairy Producers
1697,Milker,6121.0700,6121.40,"Skilled Agricultural, Forestry and Fishery Workers",Market-Oriented Skilled Agricultural Workers,Animal Producers,Livestock and Dairy Producers
1698,"Milker, Machine",6121.0800,6121.45,"Skilled Agricultural, Forestry and Fishery Workers",Market-Oriented Skilled Agricultural Workers,Animal Producers,Livestock and Dairy Producers
1699,Stableman,6121.1000,6121.55,"Skilled Agricultural, Forestry and Fishery Workers",Market-Oriented Skilled Agricultural Workers,Animal Producers,Livestock and Dairy Producers
1700,Elephant Keeper,6121.1100,6121.60,"Skilled Agricultural, Forestry and Fishery Workers",Market-Oriented Skilled Agricultural Workers,Animal Producers,Livestock and Dairy Producers
1701,"Shearer, Sheep",6121.1200,6121.65,"Skilled Agricultural, Forestry and Fishery Workers",Market-Oriented Skilled Agricultural Workers,Animal Producers,Livestock and Dairy Producers
1702,"Farmer, Poultry/Broiler Farm Supervisor",6122.0101,6122.10,"Skilled Agricultural, Forestry and Fishery Workers",Market-Oriented Skilled Agricultural Workers,Animal Producers,Poultry Producers
1703,"Farmer, Poultry Breeding",6122.0200,6122.20,"Skilled Agricultural, Forestry and Fishery Workers",Market-Oriented Skilled Agricultural Workers,Animal Producers,Poultry Producers
1704,"Poultry Farm Worker, General/Broiler Farm Worker",6122.0301,6122.30,"Skilled Agricultural, Forestry and Fishery Workers",Market-Oriented Skilled Agricultural Workers,Animal Producers,Poultry Producers
1705,Hatchery Operator/Hatchery In-Charge,6122.0401,6122.40,"Skilled Agricultural, Forestry and Fishery Workers",Market-Oriented Skilled Agricultural Workers,Animal Producers,Poultry Producers
1706,"Poultry Farm Workers, Other",6122.9900,6122.90,"Skilled Agricultural, Forestry and Fishery Workers",Market-Oriented Skilled Agricultural Workers,Animal Producers,Poultry Producers
1707,Beekeeper,6123.0101,6123.10,"Skilled Agricultural, Forestry and Fishery Workers",Market-Oriented Skilled Agricultural Workers,Animal Producers,Apiarists and Sericulturists
1708,"Rearer, Silkworm/ Sericulturist",6123.0201,6123.20,"Skilled Agricultural, Forestry and Fishery Workers",Market-Oriented Skilled Agricultural Workers,Animal Producers,Apiarists and Sericulturists
1709,"Apiarists and Sericulturists, Other",6123.9900,6123.90,"Skilled Agricultural, Forestry and Fishery Workers",Market-Oriented Skilled Agricultural Workers,Animal Producers,Apiarists and Sericulturists
1710,"Farmer, Fur-Bearing Animals",6129.0100,6129.10,"Skilled Agricultural, Forestry and Fishery Workers",Market-Oriented Skilled Agricultural Workers,Animal Producers,Animal Producers Not Elsewhere Classified
1711,Mixed Animal Producers,6129.0200,6124,"Skilled Agricultural, Forestry and Fishery Workers",Market-Oriented Skilled Agricultural Workers,Animal Producers,Animal Producers Not Elsewhere Classified
1712,"Animal Producers and Related Workers, Other",6129.9900,6129.90,"Skilled Agricultural, Forestry and Fishery Workers",Market-Oriented Skilled Agricultural Workers,Animal Producers,Animal Producers Not Elsewhere Classified
1713,Seed Processing Worker,6130.0202,,"Skilled Agricultural, Forestry and Fishery Workers",Market-Oriented Skilled Agricultural Workers,Mixed Crop and Animal Workers,Mixed Crop and Animal Workers
1714,"Mixed Crop and Animal Workers, Other",6130.9900,6130.90,"Skilled Agricultural, Forestry and Fishery Workers",Market-Oriented Skilled Agricultural Workers,Mixed Crop and Animal Workers,Mixed Crop and Animal Workers
1715,Artificial Breeding Technician,6130.0100,6130.10,"Skilled Agricultural, Forestry and Fishery Workers",Market-Oriented Skilled Agricultural Workers,Mixed Crop and Animal Workers,Mixed Crop and Animal Workers
1716,Seed Grower/Quality Seed Grower,6130.0201,6112.60,"Skilled Agricultural, Forestry and Fishery Workers",Market-Oriented Skilled Agricultural Workers,Mixed Crop and Animal Workers,Mixed Crop and Animal Workers
1717,"Estimator, Timber",6210.1400,6141.75,"Skilled Agricultural, Forestry and Fishery Workers",Market-Oriented Skilled Agricultural Workers,Forestry and Related Workers,Forestry and Related Workers
1718,Log Driver,6210.1600,6141.85,"Skilled Agricultural, Forestry and Fishery Workers",Market-Oriented Skilled Agricultural Workers,Forestry and Related Workers,Forestry and Related Workers
1719,Forester,6210.0100,6141.10,"Skilled Agricultural, Forestry and Fishery Workers",Market-Oriented Skilled Agricultural Workers,Forestry and Related Workers,Forestry and Related Workers
1720,"Charcoal Burner, Wood",6210.1700,6142.10,"Skilled Agricultural, Forestry and Fishery Workers",Market-Oriented Skilled Agricultural Workers,Forestry and Related Workers,Forestry and Related Workers
1721,Forest Guard,6210.0200,6141.15,"Skilled Agricultural, Forestry and Fishery Workers",Market-Oriented Skilled Agricultural Workers,Forestry and Related Workers,Forestry and Related Workers
1722,"Digester Operator, Wood",6210.1800,6142.20,"Skilled Agricultural, Forestry and Fishery Workers",Market-Oriented Skilled Agricultural Workers,Forestry and Related Workers,Forestry and Related Workers
1723,Forest Fire Watcher,6210.0300,6141.20,"Skilled Agricultural, Forestry and Fishery Workers",Market-Oriented Skilled Agricultural Workers,Forestry and Related Workers,Forestry and Related Workers
1724,"Distiller, Turpentine and Eucalyptus",6210.1900,6142.30,"Skilled Agricultural, Forestry and Fishery Workers",Market-Oriented Skilled Agricultural Workers,Forestry and Related Workers,Forestry and Related Workers
1725,Forest Fire Watcher,6210.0300,6141.20,"Skilled Agricultural, Forestry and Fishery Workers",Market-Oriented Skilled Agricultural Workers,Forestry and Related Workers,Forestry and Related Workers
1726,Lac Treater,6210.2000,6142.40,"Skilled Agricultural, Forestry and Fishery Workers",Market-Oriented Skilled Agricultural Workers,Forestry and Related Workers,Forestry and Related Workers
1727,Foresters and Related Workers,6210.0400,6141.25,"Skilled Agricultural, Forestry and Fishery Workers",Market-Oriented Skilled Agricultural Workers,Forestry and Related Workers,Forestry and Related Workers
1728,"Forestry and Related Workers, Other",6210.9900,6141.90,"Skilled Agricultural, Forestry and Fishery Workers",Market-Oriented Skilled Agricultural Workers,Forestry and Related Workers,Forestry and Related Workers
1729,Gatherer Lac,6210.0500,6141.30,"Skilled Agricultural, Forestry and Fishery Workers",Market-Oriented Skilled Agricultural Workers,Forestry and Related Workers,Forestry and Related Workers
1730,"Gatherer, Medicinal Herbs",6210.0600,6141.35,"Skilled Agricultural, Forestry and Fishery Workers",Market-Oriented Skilled Agricultural Workers,Forestry and Related Workers,Forestry and Related Workers
1731,"Gatherer, Firewood",6210.0700,6141.40,"Skilled Agricultural, Forestry and Fishery Workers",Market-Oriented Skilled Agricultural Workers,Forestry and Related Workers,Forestry and Related Workers
1732,Cane Cutter,6210.0800,6141.45,"Skilled Agricultural, Forestry and Fishery Workers",Market-Oriented Skilled Agricultural Workers,Forestry and Related Workers,Forestry and Related Workers
1733,Thatch Cutter,6210.0900,6141.50,"Skilled Agricultural, Forestry and Fishery Workers",Market-Oriented Skilled Agricultural Workers,Forestry and Related Workers,Forestry and Related Workers
1734,Log Feller,6210.1000,6141.55,"Skilled Agricultural, Forestry and Fishery Workers",Market-Oriented Skilled Agricultural Workers,Forestry and Related Workers,Forestry and Related Workers
1735,Wood Cutter,6210.1100,6141.60,"Skilled Agricultural, Forestry and Fishery Workers",Market-Oriented Skilled Agricultural Workers,Forestry and Related Workers,Forestry and Related Workers
1736,"Marker, Log",6210.1200,6141.65,"Skilled Agricultural, Forestry and Fishery Workers",Market-Oriented Skilled Agricultural Workers,Forestry and Related Workers,Forestry and Related Workers
1737,Sandalwood Extractor,6210.1300,6141.70,"Skilled Agricultural, Forestry and Fishery Workers",Market-Oriented Skilled Agricultural Workers,Forestry and Related Workers,Forestry and Related Workers
1738,Shrimp Farmer,6221.0101,,"Skilled Agricultural, Forestry and Fishery Workers",Market-Oriented Skilled Agricultural Workers,"Fishery Workers, Hunters and Trappers",Aquaculture Workers
1739,Hatchery Production Worker,6221.0102,,"Skilled Agricultural, Forestry and Fishery Workers",Market-Oriented Skilled Agricultural Workers,"Fishery Workers, Hunters and Trappers",Aquaculture Workers
1740,"Fisherman, Inland Water",6222.0100,6152.10,"Skilled Agricultural, Forestry and Fishery Workers",Market-Oriented Skilled Agricultural Workers,"Fishery Workers, Hunters and Trappers",Inland and Coastal Waters Fishery Workers
1741,"Fisherman, Estuaries, Coastal and Backwater",6222.0200,6152.20,"Skilled Agricultural, Forestry and Fishery Workers",Market-Oriented Skilled Agricultural Workers,"Fishery Workers, Hunters and Trappers",Inland and Coastal Waters Fishery Workers
1742,"Inland and Coastal Water Fishery Workers, Other",6222.9900,6152.90,"Skilled Agricultural, Forestry and Fishery Workers",Market-Oriented Skilled Agricultural Workers,"Fishery Workers, Hunters and Trappers",Inland and Coastal Waters Fishery Workers
1743,"Fisherman, Deep Sea/Marine Capture Fisherman",6223.0101,6153.10,"Skilled Agricultural, Forestry and Fishery Workers",Market-Oriented Skilled Agricultural Workers,"Fishery Workers, Hunters and Trappers",Deep Sea Fishery Workers
1744,"Deep Sea Fishery Workers, Other",6223.9900,6153.90,"Skilled Agricultural, Forestry and Fishery Workers",Market-Oriented Skilled Agricultural Workers,"Fishery Workers, Hunters and Trappers",Deep Sea Fishery Workers
1745,Fish Overseer,6224.0500,6159.10,"Skilled Agricultural, Forestry and Fishery Workers",Market-Oriented Skilled Agricultural Workers,"Fishery Workers, Hunters and Trappers",Hunters and Trappers
1746,Fisheries Inspector,6224.0600,6159.20,"Skilled Agricultural, Forestry and Fishery Workers",Market-Oriented Skilled Agricultural Workers,"Fishery Workers, Hunters and Trappers",Hunters and Trappers
1747,"Fieldman, Fish",6224.0700,6159.25,"Skilled Agricultural, Forestry and Fishery Workers",Market-Oriented Skilled Agricultural Workers,"Fishery Workers, Hunters and Trappers",Hunters and Trappers
1748,Yard Officer,6224.0800,6159.30,"Skilled Agricultural, Forestry and Fishery Workers",Market-Oriented Skilled Agricultural Workers,"Fishery Workers, Hunters and Trappers",Hunters and Trappers
1749,Fish Hatcher,6224.0900,6159.35,"Skilled Agricultural, Forestry and Fishery Workers",Market-Oriented Skilled Agricultural Workers,"Fishery Workers, Hunters and Trappers",Hunters and Trappers
1750,Fish Curer,6224.1000,6159.40,"Skilled Agricultural, Forestry and Fishery Workers",Market-Oriented Skilled Agricultural Workers,"Fishery Workers, Hunters and Trappers",Hunters and Trappers
1751,Fish Meal Maker,6224.1100,6159.45,"Skilled Agricultural, Forestry and Fishery Workers",Market-Oriented Skilled Agricultural Workers,"Fishery Workers, Hunters and Trappers",Hunters and Trappers
1752,Rock Pilot,6224.1200,6159.50,"Skilled Agricultural, Forestry and Fishery Workers",Market-Oriented Skilled Agricultural Workers,"Fishery Workers, Hunters and Trappers",Hunters and Trappers
1753,Man Duck,6224.1300,6159.55,"Skilled Agricultural, Forestry and Fishery Workers",Market-Oriented Skilled Agricultural Workers,"Fishery Workers, Hunters and Trappers",Hunters and Trappers
1754,Net Maker,6224.1400,6159.60,"Skilled Agricultural, Forestry and Fishery Workers",Market-Oriented Skilled Agricultural Workers,"Fishery Workers, Hunters and Trappers",Hunters and Trappers
1755,"Hunters and Trappers, Other",6224.9900,6159.90,"Skilled Agricultural, Forestry and Fishery Workers",Market-Oriented Skilled Agricultural Workers,"Fishery Workers, Hunters and Trappers",Hunters and Trappers
1756,Trapper,6224.0300,6154.30,"Skilled Agricultural, Forestry and Fishery Workers",Market-Oriented Skilled Agricultural Workers,"Fishery Workers, Hunters and Trappers",Hunters and Trappers
1757,Tracker,6224.0400,6154.40,"Skilled Agricultural, Forestry and Fishery Workers",Market-Oriented Skilled Agricultural Workers,"Fishery Workers, Hunters and Trappers",Hunters and Trappers
1758,Tree Trimmer and Pruner,6310.0100,6200.10,"Skilled Agricultural, Forestry and Fishery Workers","Subsistence Farmers, Fishers, Hunters and Gatherers",Subsistence Crop Farmers,Subsistence Crop Farmers
1759,"Subsistence Crop Farmers, Others",6310.9900,6200.90,"Skilled Agricultural, Forestry and Fishery Workers","Subsistence Farmers, Fishers, Hunters and Gatherers",Subsistence Crop Farmers,Subsistence Crop Farmers
1760,Hut Maker,7111.0100,7121.10,Craft and Related Trades Workers,Building and Related Trade Workers (Excluding Electricians),Building Finishers and Related Trades Workers,House Builders
1761,Thatcher,7111.0200,7121.20,Craft and Related Trades Workers,Building and Related Trade Workers (Excluding Electricians),Building Finishers and Related Trades Workers,House Builders
1762,"Builders, Traditional Materials, Other",7111.9900,7121.90,Craft and Related Trades Workers,Building and Related Trade Workers (Excluding Electricians),Building Finishers and Related Trades Workers,House Builders
1763,Stone Mason,7112.0100,7122.10,Craft and Related Trades Workers,Building and Related Trade Workers (Excluding Electricians),Building Finishers and Related Trades Workers,Bricklayers and Related Workers
1764,"Bricklayerer, Construction",7112.0200,7122.20,Craft and Related Trades Workers,Building and Related Trade Workers (Excluding Electricians),Building Finishers and Related Trades Workers,Bricklayers and Related Workers
1765,Plumbing Mason,7112.0201,,Craft and Related Trades Workers,Building and Related Trade Workers (Excluding Electricians),Building Finishers and Related Trades Workers,Bricklayers and Related Workers
1766,"Bricklayer, Refractory",7112.0300,7122.30,Craft and Related Trades Workers,Building and Related Trade Workers (Excluding Electricians),Building Finishers and Related Trades Workers,Bricklayers and Related Workers
1767,Paviour,7112.0400,7122.40,Craft and Related Trades Workers,Building and Related Trade Workers (Excluding Electricians),Building Finishers and Related Trades Workers,Bricklayers and Related Workers
1768,Tar Supervisor,7112.0500,7122.50,Craft and Related Trades Workers,Building and Related Trade Workers (Excluding Electricians),Building Finishers and Related Trades Workers,Bricklayers and Related Workers
1769,Assistant Mason,7112.0601,,Craft and Related Trades Workers,Building and Related Trade Workers (Excluding Electricians),Building Finishers and Related Trades Workers,Bricklayers and Related Workers
1770,"Bricklayerers, Other",7112.9900,7122.90,Craft and Related Trades Workers,Building and Related Trade Workers (Excluding Electricians),Building Finishers and Related Trades Workers,Bricklayers and Related Workers
1771,"Stone Cutter, Hand",7113.0200,7113.20,Craft and Related Trades Workers,Building and Related Trade Workers (Excluding Electricians),Building Finishers and Related Trades Workers,"Stonemasons, Stone Cutters, Splitters and Carvers"
1772,"Stone Dresser, Hand",7113.0300,7113.30,Craft and Related Trades Workers,Building and Related Trade Workers (Excluding Electricians),Building Finishers and Related Trades Workers,"Stonemasons, Stone Cutters, Splitters and Carvers"
1773,Stone Carver,7113.0400,7113.40,Craft and Related Trades Workers,Building and Related Trade Workers (Excluding Electricians),Building Finishers and Related Trades Workers,"Stonemasons, Stone Cutters, Splitters and Carvers"
1774,"Stone Polisher, Hand",7113.0500,7113.50,Craft and Related Trades Workers,Building and Related Trade Workers (Excluding Electricians),Building Finishers and Related Trades Workers,"Stonemasons, Stone Cutters, Splitters and Carvers"
1775,"Stone Splitters, Cutters and Carvers, Other",7113.9900,7113.90,Craft and Related Trades Workers,Building and Related Trade Workers (Excluding Electricians),Building Finishers and Related Trades Workers,"Stonemasons, Stone Cutters, Splitters and Carvers"
1776,Concrete Moulder,7114.0100,7123.10,Craft and Related Trades Workers,Building and Related Trade Workers (Excluding Electricians),Building Finishers and Related Trades Workers,"Concrete Placers, Concrete Finishers and Related Workers"
1777,Cement Finisher,7114.0200,7123.20,Craft and Related Trades Workers,Building and Related Trade Workers (Excluding Electricians),Building Finishers and Related Trades Workers,"Concrete Placers, Concrete Finishers and Related Workers"
1778,"Concrete Placers, Concrete Finishers and Related Workers, Other",7114.9900,7123.90,Craft and Related Trades Workers,Building and Related Trade Workers (Excluding Electricians),Building Finishers and Related Trades Workers,"Concrete Placers, Concrete Finishers and Related Workers"
1779,"Carpenter, General",7115.0100,7124.10,Craft and Related Trades Workers,Building and Related Trade Workers (Excluding Electricians),Building Finishers and Related Trades Workers,Carpenters and Joiners
